COUNTRY,SEX,YEAR,ACTIVITY_VAL,AGE,OBESITY_VAL
NLD,FEMALE,2009,13.4,15,4.79492531962158
NLD,MALE,2005,18.0,15,10.0
NLD,FEMALE,2005,15.0,15,10.0
NOR,MALE,2009,12.4,15,17.28
NOR,FEMALE,2009,8.6,15,10.7485604606526
NOR,MALE,2005,13.0,15,16.0
NOR,FEMALE,2005,7.0,15,8.0
POL,MALE,2009,23.0,15,16.9161676646707
POL,FEMALE,2009,9.9,15,10.3448275862069
POL,MALE,2005,21.0,15,12.0
POL,FEMALE,2005,10.0,15,6.0
PRT,MALE,2009,13.6,15,19.0184049079755
PRT,FEMALE,2009,5.9,15,15.1699029126214
PRT,MALE,2005,15.0,15,22.0
PRT,FEMALE,2005,5.0,15,13.0
ROU,MALE,2009,16.2,15,20.4892966360856
ROU,FEMALE,2009,7.2,15,8.46905537459283
ROU,MALE,2005,16.0,15,10.0
ROU,FEMALE,2005,6.0,15,4.0
RUS,MALE,2009,13.3,15,10.0362756952842
RUS,FEMALE,2009,6.6,15,5.84028605482718
RUS,MALE,2005,12.0,15,12.0
RUS,FEMALE,2005,7.0,15,4.0
SVK,MALE,2009,26.8,15,15.3932584269663
SVK,FEMALE,2009,12.0,15,6.8771138669673
SVK,MALE,2005,46.0,15,11.0
SVK,FEMALE,2005,29.0,15,4.0
SVN,MALE,2009,20.4,15,22.9452054794521
SVN,FEMALE,2009,10.4,15,13.3489461358314
SVN,MALE,2005,19.0,15,20.0
SVN,FEMALE,2005,9.0,15,10.0
ESP,MALE,2009,25.2,15,18.9988623435722
ESP,FEMALE,2009,8.3,15,12.3028391167192
ESP,MALE,2005,19.0,15,19.0
ESP,FEMALE,2005,12.0,15,11.0
SWE,MALE,2009,13.2,15,16.6315789473684
SWE,FEMALE,2009,8.9,15,6.75381263616558
SWE,MALE,2005,11.0,15,15.0
SWE,FEMALE,2005,10.0,15,9.0
CHE,MALE,2009,11.9,15,14.0858208955224
CHE,FEMALE,2009,6.3,15,7.23809523809524
CHE,MALE,2005,13.0,15,14.0
CHE,FEMALE,2005,10.0,15,7.0
TUR,MALE,2009,17.5,15,16.9491525423729
TUR,FEMALE,2009,8.8,15,5.88928150765607
TUR,MALE,2005,16.0,15,14.0
TUR,FEMALE,2005,12.0,15,5.0
UKR,MALE,2009,24.4,15,13.5200974421437
UKR,FEMALE,2009,8.5,15,6.34755463059313
UKR,MALE,2005,21.0,15,12.0
UKR,FEMALE,2005,11.0,15,5.0
GB-ENG,MALE,2009,24.9,15,10.1376250032036
GB-ENG,FEMALE,2009,12.2,15,10.862296128471
GB-ENG,MALE,2005,18.0,15,13.0
GB-ENG,FEMALE,2005,9.0,15,8.0
GB-SCT,MALE,2009,13.3,15,15.5255077304315
GB-SCT,FEMALE,2009,7.6,15,11.1204475067822
GB-SCT,MALE,2005,21.0,15,14.0
GB-SCT,FEMALE,2005,9.0,15,12.0
GB-WLS,MALE,2009,20.5,15,22.4719101123595
GB-WLS,FEMALE,2009,8.5,15,14.7435897435897
GB-WLS,MALE,2005,21.0,15,21.0
GB-WLS,FEMALE,2005,9.0,15,18.0
